 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00   100.00 -0.37368
   -90.00  -175.00   100.00 -0.37368
   -90.00  -170.00   100.00 -0.37368
   -90.00  -165.00   100.00 -0.37368
   -90.00  -160.00   100.00 -0.37368
   -90.00  -155.00   100.00 -0.37368
   -90.00  -150.00   100.00 -0.37368
   -90.00  -145.00   100.00 -0.37368
   -90.00  -140.00   100.00 -0.37368
   -90.00  -135.00   100.00 -0.37368
   -90.00  -130.00   100.00 -0.37368
   -90.00  -125.00   100.00 -0.37369
   -90.00  -120.00   100.00 -0.37369
   -90.00  -115.00   100.00 -0.37369
   -90.00  -110.00   100.00 -0.37369
   -90.00  -105.00   100.00 -0.37369
   -90.00  -100.00   100.00 -0.37369
   -90.00   -95.00   100.00 -0.37369
   -90.00   -90.00   100.00 -0.37369
   -90.00   -85.00   100.00 -0.37369
   -90.00   -80.00   100.00 -0.37369
   -90.00   -75.00   100.00 -0.37369
   -90.00   -70.00   100.00 -0.37369
   -90.00   -65.00   100.00 -0.37369
   -90.00   -60.00   100.00 -0.37369
   -90.00   -55.00   100.00 -0.37368
   -90.00   -50.00   100.00 -0.37368
   -90.00   -45.00   100.00 -0.37368
   -90.00   -40.00   100.00 -0.37368
   -90.00   -35.00   100.00 -0.37368
   -90.00   -30.00   100.00 -0.37368
   -90.00   -25.00   100.00 -0.37368
   -90.00   -20.00   100.00 -0.37368
   -90.00   -15.00   100.00 -0.37368
   -90.00   -10.00   100.00 -0.37368
   -90.00    -5.00   100.00 -0.37368
   -90.00     0.00   100.00 -0.37368
   -90.00     5.00   100.00 -0.37368
   -90.00    10.00   100.00 -0.37368
   -90.00    15.00   100.00 -0.37368
   -90.00    20.00   100.00 -0.37368
   -90.00    25.00   100.00 -0.37368
   -90.00    30.00   100.00 -0.37368
   -90.00    35.00   100.00 -0.37368
   -90.00    40.00   100.00 -0.37368
   -90.00    45.00   100.00 -0.37368
   -90.00    50.00   100.00 -0.37368
   -90.00    55.00   100.00 -0.37369
   -90.00    60.00   100.00 -0.37369
   -90.00    65.00   100.00 -0.37369
   -90.00    70.00   100.00 -0.37369
   -90.00    75.00   100.00 -0.37369
   -90.00    80.00   100.00 -0.37369
   -90.00    85.00   100.00 -0.37369
   -90.00    90.00   100.00 -0.37369
   -90.00    95.00   100.00 -0.37369
