 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00  1500.00 -0.61898
   -90.00  -175.00  1500.00 -0.61899
   -90.00  -170.00  1500.00 -0.61899
   -90.00  -165.00  1500.00 -0.61900
   -90.00  -160.00  1500.00 -0.61902
   -90.00  -155.00  1500.00 -0.61904
   -90.00  -150.00  1500.00 -0.61906
   -90.00  -145.00  1500.00 -0.61909
   -90.00  -140.00  1500.00 -0.61911
   -90.00  -135.00  1500.00 -0.61914
   -90.00  -130.00  1500.00 -0.61917
   -90.00  -125.00  1500.00 -0.61920
   -90.00  -120.00  1500.00 -0.61923
   -90.00  -115.00  1500.00 -0.61925
   -90.00  -110.00  1500.00 -0.61928
   -90.00  -105.00  1500.00 -0.61929
   -90.00  -100.00  1500.00 -0.61931
   -90.00   -95.00  1500.00 -0.61932
   -90.00   -90.00  1500.00 -0.61932
   -90.00   -85.00  1500.00 -0.61932
   -90.00   -80.00  1500.00 -0.61931
   -90.00   -75.00  1500.00 -0.61930
   -90.00   -70.00  1500.00 -0.61929
   -90.00   -65.00  1500.00 -0.61927
   -90.00   -60.00  1500.00 -0.61925
   -90.00   -55.00  1500.00 -0.61922
   -90.00   -50.00  1500.00 -0.61919
   -90.00   -45.00  1500.00 -0.61916
   -90.00   -40.00  1500.00 -0.61913
   -90.00   -35.00  1500.00 -0.61911
   -90.00   -30.00  1500.00 -0.61908
   -90.00   -25.00  1500.00 -0.61905
   -90.00   -20.00  1500.00 -0.61903
   -90.00   -15.00  1500.00 -0.61901
   -90.00   -10.00  1500.00 -0.61900
   -90.00    -5.00  1500.00 -0.61899
   -90.00     0.00  1500.00 -0.61899
   -90.00     5.00  1500.00 -0.61899
   -90.00    10.00  1500.00 -0.61899
   -90.00    15.00  1500.00 -0.61900
   -90.00    20.00  1500.00 -0.61902
   -90.00    25.00  1500.00 -0.61904
   -90.00    30.00  1500.00 -0.61906
   -90.00    35.00  1500.00 -0.61909
   -90.00    40.00  1500.00 -0.61911
   -90.00    45.00  1500.00 -0.61914
   -90.00    50.00  1500.00 -0.61917
   -90.00    55.00  1500.00 -0.61920
   -90.00    60.00  1500.00 -0.61923
   -90.00    65.00  1500.00 -0.61925
   -90.00    70.00  1500.00 -0.61928
   -90.00    75.00  1500.00 -0.61929
   -90.00    80.00  1500.00 -0.61931
   -90.00    85.00  1500.00 -0.61932
   -90.00    90.00  1500.00 -0.61932
   -90.00    95.00  1500.00 -0.61932
   -90.00   100.00  1500.00 -0.61932
   -90.00   105.00  1500.00 -0.61930
