 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00  1500.00 -0.39907
   -90.00  -175.00  1500.00 -0.39907
   -90.00  -170.00  1500.00 -0.39907
   -90.00  -165.00  1500.00 -0.39908
   -90.00  -160.00  1500.00 -0.39908
   -90.00  -155.00  1500.00 -0.39909
   -90.00  -150.00  1500.00 -0.39910
   -90.00  -145.00  1500.00 -0.39911
   -90.00  -140.00  1500.00 -0.39912
   -90.00  -135.00  1500.00 -0.39913
   -90.00  -130.00  1500.00 -0.39914
   -90.00  -125.00  1500.00 -0.39915
   -90.00  -120.00  1500.00 -0.39916
   -90.00  -115.00  1500.00 -0.39918
   -90.00  -110.00  1500.00 -0.39919
   -90.00  -105.00  1500.00 -0.39919
   -90.00  -100.00  1500.00 -0.39920
   -90.00   -95.00  1500.00 -0.39921
   -90.00   -90.00  1500.00 -0.39921
   -90.00   -85.00  1500.00 -0.39921
   -90.00   -80.00  1500.00 -0.39921
   -90.00   -75.00  1500.00 -0.39921
   -90.00   -70.00  1500.00 -0.39920
   -90.00   -65.00  1500.00 -0.39920
   -90.00   -60.00  1500.00 -0.39919
   -90.00   -55.00  1500.00 -0.39918
   -90.00   -50.00  1500.00 -0.39917
   -90.00   -45.00  1500.00 -0.39916
   -90.00   -40.00  1500.00 -0.39914
   -90.00   -35.00  1500.00 -0.39913
   -90.00   -30.00  1500.00 -0.39912
   -90.00   -25.00  1500.00 -0.39911
   -90.00   -20.00  1500.00 -0.39910
   -90.00   -15.00  1500.00 -0.39909
   -90.00   -10.00  1500.00 -0.39908
   -90.00    -5.00  1500.00 -0.39908
   -90.00     0.00  1500.00 -0.39907
   -90.00     5.00  1500.00 -0.39907
   -90.00    10.00  1500.00 -0.39907
   -90.00    15.00  1500.00 -0.39908
   -90.00    20.00  1500.00 -0.39908
   -90.00    25.00  1500.00 -0.39909
   -90.00    30.00  1500.00 -0.39910
   -90.00    35.00  1500.00 -0.39911
   -90.00    40.00  1500.00 -0.39912
   -90.00    45.00  1500.00 -0.39913
   -90.00    50.00  1500.00 -0.39914
   -90.00    55.00  1500.00 -0.39915
   -90.00    60.00  1500.00 -0.39916
